X,Y,OBJECT ID,GLOBAL ID,REQUEST ID,USER  TYPE,REQUEST TYPE,REQUEST DATE,STATUS,STREET SEG ID,COMMENTS
-77.00918218,38.91700508,8106,{CED3E906-5140-49CC-AA3A-FB0F3E13C1E1},8106,Pedestrian,Failure to stop for pedestrians,2015/09/17 18:45:05+00,Unassigned,8837,"This is a very dangerous intersection for pedestrians. Cars turn left and right from RI and Capitol through the crosswalk, typically never slowing down. I have had several near misses while pushing a stroller."
-76.99618489,38.93314198,8107,{2106F725-9B73-458E-8A05-A87E502B0D29},8107,Pedestrian,Other Walking Issue,2015/09/17 18:45:47+00,Unassigned,11186,There is no automatic pedestrian walk signal in the direction of traffic flow. Pedestrians have to push a button for the walk signal. This is a high pedestrian street bordering a University and an automatic walk signal would be very helpful
-77.00238257,38.92237164,8108,{4714253C-D927-4413-8CAD-F8BF4B51E273},8108,Pedestrian,Speeding,2015/09/17 18:50:43+00,Unassigned,6163,"Motorists frequently speed through Channing St 200 - 300 block, using it as  a cut through from Lincoln St to 4th St NE."
-76.99881283,38.92038837,8109,{7BC79544-59D6-47BB-B6B0-9CCB04FB3E53},8109,Pedestrian,Other Walking Issue,2015/09/17 18:51:48+00,Unassigned,6661,There is part of the sidewalk that is gravel and dirt here--just to the east of the McDonald's. It gets very muddy and is slippery/dirty for peds. No one seems willing to take care of it. This is a major artery for foot traffic going to the metro.
-77.02705072,38.90407801,8110,{76DFD21F-2C0D-4570-ADF3-30EE4C776247},8110,Pedestrian,Other Walking Issue,2015/09/17 19:56:47+00,Unassigned,5390,Should be a xwalk connecting the Gompers park island to the smaller traffic island. Existing route creates unnecessary detour for peds with long signal delays
-77.01573513,38.91460469,8111,{83A5B659-B9B0-4FFC-B992-B8E2F1BA5248},8111,Pedestrian,Blocking the crosswalk,2015/09/17 20:33:29+00,Unassigned,2077,"Cars routinely block the crosswalk during morning rush hour, making it difficult and sometimes impossible to cross the street safely."
-77.02000145,38.91560853,8112,{CDBBB4EF-743C-4E6F-A0B9-6EFC91905930},8112,Pedestrian,Blocking the crosswalk,2015/09/17 20:36:38+00,Unassigned,3604,"Cars routinely block the crosswalk during morning rush with absolutely no care for the safety of peds with strollers, canes, wheelchairs, etc."
-77.03365002,38.89120668,8113,{3B5AA8AE-4D7C-4279-B06F-329498953413},8113,Biker,Blocking the bikebox,2015/09/17 15:40:11+00,Unassigned,1755,"Good grief.  All kinds of space available, but this is designed like a highway for cars and with no facilities for bikes."
-77.03456953,38.90689581,8114,{E5D6CE77-0417-4ECD-B378-15D394478FE2},8114,Biker,Other Driving Issue,2015/09/17 16:01:20+00,Unassigned,8627,"Regardless of mode, windows of cars are being broken along 15th between Mass and RI. Eyes on the street here would be a good idea, but at a minimum please clean up the glass in the bike lane"
-77.03456439,38.90822536,8115,{740D062F-9EBC-4143-B8E2-A82348D3FC55},8115,Biker,Other Walking Issue,2015/09/17 16:02:51+00,Unassigned,189,Too often peds are walking through the bike lane on 15th without recognition that bikes are coming creating a safety issue. The NYC Look campaign would be ideal for this corridor.
-77.04119221,38.92366946,8116,{EEDDC4A8-89C0-433B-B6FC-65ACFF097829},8116,Pedestrian,Failure to stop for pedestrians,2015/09/17 16:11:18+00,Unassigned,12659,This intersection used to be well marked and painted. Not anymore. The sign in the road instructing cars to stop for traffic  is no longer there and 311 has failed to replace it upon requests.
-77.0377103,38.92204835,8117,{644E9CF8-001A-4BA9-88B9-EBE5A49DABC0},8117,Biker,Other Biking Issue,2015/09/17 16:12:32+00,Unassigned,415,Put a bikeshare stand here. Dense housing. No stand within blocks.
-77.01216002,38.91260713,8118,{E3077394-197C-4A61-B750-1770523FBB16},8118,Car Driver,Cyclist behavior,2015/09/17 18:41:00+00,Unassigned,7742,"Cyclists consistently speed down R street coming from N Capitol without stopping or slowing at the intersection. One just about hit the front of my car after I made a full stop, looked both ways, and proceeded north on First street."
-76.99763738,38.92078743,8119,{E7D23791-027B-4375-8DE9-6883B4D31938},8119,Pedestrian,Failure to stop for pedestrians,2015/09/17 18:49:10+00,Unassigned,6661,"There is a light by the McDonald's that allows traffic exiting the RI Shopping Center to pull onto RI Ave. However, there is no corresponding signage for pedestrians, and it's unclear if peds have the right of way or need to stop for cars."
-76.99871843,38.92042011,8120,{FC6E7364-DBBB-4448-B2D7-64460B4DC148},8120,Pedestrian,Other Driving Issue,2015/09/17 18:53:20+00,Unassigned,6661,"Cars pulling out of RI Ave Shopping Center don't always acknowledge pedestrians, which seem to have the right of way on the sidewalk. I was almost hit here pushing a stroller--the car tried to turn right on red and didn't look for peds."
-77.00704722,38.91778006,8121,{977E15CC-1965-486B-A865-A3A8239439CD},8121,Car Driver,Blocking the crosswalk,2015/09/17 18:56:02+00,Unassigned,1749,"Cars going SW on Rhode Island Ave during the morning commute often block the intersection, creating a back up on Lincoln Rd heading south, because we cannot use the (already short) green light."
-76.99755104,38.90251958,8122,{5F4E8FB6-3894-4D7F-A9B9-EAF0A2D06288},8122,Biker,Speeding,2015/09/17 20:32:56+00,Unassigned,6009,"There is a rush hour parking restriction in this block, across from an elementary school.  motorists are zooming to get out of town, past students getting picked up from after care. get rid of the rush hour parking restrictions, and calm the traffic."
-77.0258816,38.91095558,8123,{419DDC98-C33C-4C1E-9617-1CF4FF23B257},8123,Biker,Other Driving Issue,2015/09/18 15:25:28+00,Unassigned,12623,Someone parked a trailer that has a speed limit sign and speed display in the right lane of Rhode Island Ave. During rush hour this becomes a travel lane. The sign is blocking traffic and causing a bottleneck.
-77.03195134,38.90421641,8124,{CBE8176F-816C-478B-8EAF-EDD78172923E},8124,Pedestrian,Jaywalking,2015/09/18 18:59:12+00,Unassigned,10168,I jaywalk here consistently because there is no decent way to cross 14th or the circle.
-77.00647411,38.92616709,8125,{1B2F1FB3-1DB7-4232-9E0A-56690D7F10E1},8125,Car Driver,Other Driving Issue,2015/09/18 20:12:10+00,Unassigned,550,Drivers often do an illegal left turn off Franklin onto Girard and drive the wrong way on one-way Girard so they can to left andcut south down the alley along the cemetary.  They drive fast through blind alley corners where many children are walking.
-76.97954055,38.93213168,8126,{9E401093-ECD0-426A-9501-CF4341CFE689},8126,Car Driver,Blocking the crosswalk,2015/09/19 19:15:38+00,Unassigned,11852,"Multiple times a day (due to worship services), cars, mostly with MD plates, ignore parking signs and park right up to the corner of the street, making it extremely dangerous to cross 18th street, which only has a two-way stop sign."
-77.03218639,38.91557988,8129,{3BA30E15-3657-4EE2-A4CE-D51142EAFCAD},8129,Biker,Blocking the bikebox,2015/09/17 20:39:35+00,Unassigned,11387,"Drivers turning right onto 14th from T street often don't look to see if any bikes coming up on their right in the designated bike lane, causing bikes to brake suddenly or swerve into traffic."
-77.00350618,38.92175728,8130,{3113A05E-98C5-4B1A-8B2E-6D5BDF1CBB4E},8130,Pedestrian,Speeding,2015/09/18 01:50:45+00,Unassigned,4468,Commuters use 2nd St NE as a short cut en route to Rhode Island in the morning to bypass the traffic on Lincoln Blvd. Street safety could benefit from speed bumps as there are many small children on this block walking to school at Shaed.
-76.98755244,38.93371256,8131,{EF598D18-EB4D-4689-8A0D-F695999C5DAE},8131,Pedestrian,Speeding,2015/09/18 15:56:12+00,Unassigned,1771,"This route is often used by drivers to avoid traffic back-ups on Monroe Street. As a result, and because nearby blocks have speed bumps, the block gets too many speeding cars. This block should have speed bumps as well."
-77.00056165,38.93140137,8132,{25463463-F617-46B7-8458-997D3E15EC16},8132,Car Driver,Other Driving Issue,2015/09/18 15:59:24+00,Unassigned,9601,"Drivers on 4th street approaching Michigan ave should be able to turn right on Michigan ave on the green signal, while yielding to pedestrians. There is no reason to wait for the green arrow to turn right. this causes unneccesary traffic backups."
-76.9882363,38.92342685,8133,{E1D76C41-B99D-46B9-8D01-0F1A1CF30B6F},8133,Car Driver,Double parking,2015/09/18 16:02:33+00,Unassigned,6450,"Cars are often illegally standing on the northbound side of the road on this block, due to the apartments on that side. It is very dangerous as it is a blind hill and traffic comes upon them quickly."
-77.03143597,38.90565645,8134,{FC0BADD3-22B2-45CD-879E-DCE050AECBD4},8134,Pedestrian,Jaywalking,2015/09/18 18:59:30+00,Unassigned,3864,I jaywalk here consistently because there is no decent way to cross 14th or the circle.
-77.00734799,38.92534484,8135,{D0A8B599-B127-4B6D-8325-63234E97A72F},8135,Pedestrian,Poor visibility,2015/09/18 20:14:38+00,Unassigned,12175,The alley along cemetery is use illegally like a street - speeding cars in both directions and honking.  There is poor visibility on all turns and alley should be used as an alley only.
