Bike ID,iOS,Latitude,Longitude,Rental URIS
"{""bike_id"":""12653cff-ac2d-4534-a86b-8829a132833a""","ios:""limebike://map?selected_vehicle_id=WNFTIRSD37GQL\u0026generated_at=1634666730""}}","lat:""38.8984""","lon:""-77.0448""","rental_uris:{""android"":""limebike://map?selected_vehicle_id=WNFTIRSD37GQL\u0026generated_at=1634666730"""
"{""bike_id"":""2cbc051b-68ab-471d-b915-de630c28012c""","ios:""limebike://map?selected_vehicle_id=5ORJPLJ6METEB\u0026generated_at=1634666730""}}","lat:""38.9112""","lon:""-77.0448""","rental_uris:{""android"":""limebike://map?selected_vehicle_id=5ORJPLJ6METEB\u0026generated_at=1634666730"""
"{""bike_id"":""e651425a-60e4-45e4-a66d-75eab5e6b245""","ios:""limebike://map?selected_vehicle_id=PJZPCUWCAMKN7\u0026generated_at=1634666730""}}","lat:""38.9004""","lon:""-77.0449""","rental_uris:{""android"":""limebike://map?selected_vehicle_id=PJZPCUWCAMKN7\u0026generated_at=1634666730"""
"{""bike_id"":""6859246c-aa1b-4579-ba1a-d7283841781f""","ios:""limebike://map?selected_vehicle_id=DQ6CSZYRKJ4MA\u0026generated_at=1634666730""}}","lat:""38.8983""","lon:""-77.0449""","rental_uris:{""android"":""limebike://map?selected_vehicle_id=DQ6CSZYRKJ4MA\u0026generated_at=1634666730"""
"{""bike_id"":""d3e74561-5f2b-408e-bfaa-91d9ae1cab07""","ios:""limebike://map?selected_vehicle_id=GWDFK3QOGYYS3\u0026generated_at=1634666730""}}","lat:""38.9027""","lon:""-77.0449""","rental_uris:{""android"":""limebike://map?selected_vehicle_id=GWDFK3QOGYYS3\u0026generated_at=1634666730"""
"{""bike_id"":""b38af6c2-2c0d-4945-965f-8b939706b1bf""","ios:""limebike://map?selected_vehicle_id=UJEOUVLDSBRBD\u0026generated_at=1634666730""}}","lat:""38.9067""","lon:""-77.0449""","rental_uris:{""android"":""limebike://map?selected_vehicle_id=UJEOUVLDSBRBD\u0026generated_at=1634666730"""
"{""bike_id"":""0b64c70f-7dbd-44a8-9ea1-2f71d8849665""","ios:""limebike://map?selected_vehicle_id=AO2UAKBDMGUBU\u0026generated_at=1634666730""}}","lat:""38.9046""","lon:""-77.0449""","rental_uris:{""android"":""limebike://map?selected_vehicle_id=AO2UAKBDMGUBU\u0026generated_at=1634666730"""
"{""bike_id"":""9dd5739e-6077-4fc2-bb17-078caf11311d""","ios:""limebike://map?selected_vehicle_id=WVMRSY2QOPAMF\u0026generated_at=1634666730""}}","lat:""38.9002""","lon:""-77.0449""","rental_uris:{""android"":""limebike://map?selected_vehicle_id=WVMRSY2QOPAMF\u0026generated_at=1634666730"""
"{""bike_id"":""88884b87-8301-49c1-8811-9525233ea5b2""","ios:""limebike://map?selected_vehicle_id=7YVCOGNSJS6QJ\u0026generated_at=1634666730""}}","lat:""38.9156""","lon:""-77.0449""","rental_uris:{""android"":""limebike://map?selected_vehicle_id=7YVCOGNSJS6QJ\u0026generated_at=1634666730"""
"{""bike_id"":""05ca6995-ffcd-4c4b-bd95-ccba839bbb77""","ios:""limebike://map?selected_vehicle_id=2T27OCK3SJPOT\u0026generated_at=1634666730""}}","lat:""38.897""","lon:""-77.0449""","rental_uris:{""android"":""limebike://map?selected_vehicle_id=2T27OCK3SJPOT\u0026generated_at=1634666730"""
